epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7293,2.54027,2.4157,3.28734,0.73042,0.50174,0.56055,0.32679,3.56322,3.40611,4.13363,0.0669788,0.000165936,0.000165936
2,128.52,2.44757,2.31867,3.18433,0.7352,0.53112,0.60154,0.36126,3.48666,3.23024,4.06135,0.033812,0.000332475,0.000332475
3,190.362,2.40467,2.2183,3.14681,0.72457,0.54012,0.60313,0.36372,3.35874,3.04257,3.92544,0.000644706,0.000498507,0.000498507
4,252.367,2.36146,2.17338,3.11933,0.6826,0.54883,0.5974,0.35573,3.40508,3.0823,3.92975,0.000498284,0.000498284,0.000498284
5,313.966,2.37977,2.19975,3.13805,0.78307,0.50844,0.59361,0.35353,3.43953,3.07239,3.97668,0.000496953,0.000496953,0.000496953
6,375.653,2.34821,2.17697,3.1174,0.74741,0.5469,0.60937,0.36725,3.42504,3.05166,3.92982,0.000495244,0.000495244,0.000495244
7,437.255,2.34783,2.15248,3.09752,0.74383,0.52791,0.60304,0.35672,3.39988,3.04544,3.92696,0.000493162,0.000493162,0.000493162
8,498.773,2.36105,2.2045,3.11134,0.74662,0.5364,0.60546,0.36323,3.40749,3.07714,3.9434,0.000490708,0.000490708,0.000490708
9,560.223,2.38803,2.21041,3.14059,0.77535,0.53692,0.60932,0.36742,3.42091,3.15081,3.94481,0.000487886,0.000487886,0.000487886
10,622.098,2.36597,2.19022,3.13621,0.71633,0.54885,0.5969,0.3557,3.42425,3.12395,3.95157,0.000484702,0.000484702,0.000484702
11,683.889,2.34282,2.13824,3.07792,0.73797,0.57491,0.61767,0.37575,3.35264,3.16269,3.88586,0.00048116,0.00048116,0.00048116
12,745.576,2.33007,2.14204,3.08125,0.74894,0.54915,0.5983,0.3665,3.38682,3.17795,3.95492,0.000477265,0.000477265,0.000477265
13,807.168,2.3498,2.17417,3.10623,0.78666,0.52048,0.60875,0.36544,3.37914,3.10601,3.88235,0.000473024,0.000473024,0.000473024
14,868.672,2.34952,2.14083,3.09491,0.68778,0.56685,0.61075,0.3594,3.50825,3.07736,3.99767,0.000468443,0.000468443,0.000468443
15,930.172,2.34889,2.13079,3.10909,0.69998,0.55711,0.60687,0.36822,3.39294,3.09754,3.89643,0.000463528,0.000463528,0.000463528
16,991.551,2.34932,2.1793,3.11099,0.73265,0.54965,0.61035,0.37531,3.36922,3.18251,3.90395,0.000458289,0.000458289,0.000458289
17,1052.99,2.33586,2.15212,3.10045,0.69993,0.56078,0.61215,0.36609,3.43453,3.10343,3.97684,0.000452732,0.000452732,0.000452732
18,1114.56,2.34256,2.17153,3.09726,0.73296,0.55585,0.61106,0.36694,3.43688,3.11305,3.92719,0.000446866,0.000446866,0.000446866
19,1176.12,2.30147,2.06132,3.0623,0.72626,0.5534,0.6104,0.37226,3.39038,3.04793,3.90073,0.0004407,0.0004407,0.0004407
20,1237.63,2.28508,2.06059,3.02834,0.74367,0.55538,0.61635,0.37436,3.40005,3.0202,3.93888,0.000434245,0.000434245,0.000434245
21,1299.45,2.304,2.10417,3.04837,0.70641,0.56719,0.61201,0.37552,3.31936,3.05075,3.84468,0.000427509,0.000427509,0.000427509
22,1361.03,2.27159,2.05987,3.03557,0.73142,0.54781,0.61014,0.37771,3.36612,3.19346,3.91367,0.000420503,0.000420503,0.000420503
23,1422.53,2.29921,2.08839,3.07018,0.71719,0.56909,0.61331,0.37181,3.33653,3.04905,3.94254,0.000413238,0.000413238,0.000413238
24,1484.04,2.245,1.98775,3.00991,0.71676,0.55157,0.61088,0.36534,3.4047,3.09545,3.95452,0.000405726,0.000405726,0.000405726
25,1545.54,2.24013,2.02646,3.00877,0.74394,0.5542,0.6228,0.37797,3.3428,3.07356,3.87442,0.000397977,0.000397977,0.000397977
26,1607.14,2.24244,2.04972,3.00944,0.73804,0.55668,0.61687,0.37771,3.31986,3.06915,3.86411,0.000390004,0.000390004,0.000390004
27,1668.55,2.24393,1.97341,3.00573,0.79474,0.54354,0.62868,0.38601,3.33012,2.99533,3.87662,0.000381818,0.000381818,0.000381818
28,1730.03,2.28078,2.0627,3.03305,0.74194,0.5531,0.61074,0.38154,3.32129,3.12666,3.90596,0.000373434,0.000373434,0.000373434
29,1791.33,2.28104,2.09161,3.04214,0.7581,0.56262,0.63436,0.39015,3.33261,3.0734,3.92121,0.000364863,0.000364863,0.000364863
30,1852.88,2.2228,1.96737,2.99831,0.74688,0.56528,0.63529,0.39067,3.34329,3.027,3.90923,0.000356118,0.000356118,0.000356118
31,1914.44,2.23293,2.04248,3.00708,0.74626,0.56025,0.62508,0.38919,3.31579,3.05569,3.87442,0.000347214,0.000347214,0.000347214
32,1975.9,2.22325,1.97087,2.98234,0.73524,0.57042,0.62308,0.38668,3.32792,3.05766,3.87605,0.000338164,0.000338164,0.000338164
33,2037.36,2.16667,1.98333,2.95675,0.81955,0.535,0.63274,0.38701,3.35024,3.01948,3.90779,0.000328982,0.000328982,0.000328982
34,2098.84,2.19792,1.98622,2.98031,0.74982,0.54277,0.62242,0.38918,3.28036,2.97088,3.83273,0.000319682,0.000319682,0.000319682
35,2160.5,2.16842,1.9798,2.93606,0.78583,0.55225,0.62966,0.39324,3.3334,3.12428,3.91675,0.000310278,0.000310278,0.000310278
36,2222.1,2.16906,1.96242,2.94917,0.7647,0.54671,0.62413,0.3866,3.35388,3.10809,3.92511,0.000300785,0.000300785,0.000300785
37,2283.62,2.13199,1.94084,2.93529,0.80131,0.54326,0.62939,0.38604,3.32319,3.07254,3.88718,0.000291218,0.000291218,0.000291218
38,2345.3,2.19255,1.94999,2.96362,0.73207,0.57024,0.6266,0.39053,3.3114,3.12585,3.90376,0.000281591,0.000281591,0.000281591
39,2406.66,2.188,1.9635,2.95762,0.78074,0.54175,0.62474,0.39014,3.30242,3.1069,3.84725,0.000271919,0.000271919,0.000271919
40,2468.19,2.15273,1.94757,2.92665,0.74614,0.57308,0.63159,0.39414,3.33282,3.16342,3.89849,0.000262217,0.000262217,0.000262217
41,2529.74,2.11052,1.86888,2.89724,0.79516,0.54464,0.62434,0.39346,3.30513,3.16219,3.90543,0.0002525,0.0002525,0.0002525
42,2591.26,2.09506,1.81871,2.88834,0.75384,0.56097,0.6237,0.39697,3.31504,3.07584,3.87751,0.000242783,0.000242783,0.000242783
43,2652.82,2.12527,1.91811,2.90834,0.75828,0.57287,0.63837,0.39879,3.30444,3.06265,3.86616,0.000233081,0.000233081,0.000233081
44,2714.51,2.06804,1.80872,2.86147,0.76393,0.56152,0.63167,0.39883,3.29751,3.02717,3.89071,0.000223409,0.000223409,0.000223409
45,2776.01,2.10072,1.85907,2.89474,0.81749,0.53794,0.63024,0.39656,3.28242,3.15449,3.85588,0.000213782,0.000213782,0.000213782
46,2837.49,2.0996,1.85596,2.88723,0.78646,0.5561,0.63789,0.40942,3.25783,3.1594,3.86201,0.000204215,0.000204215,0.000204215
47,2898.92,2.08578,1.8658,2.88697,0.77779,0.54563,0.62603,0.39485,3.29936,3.08894,3.90128,0.000194722,0.000194722,0.000194722
48,2960.4,2.06948,1.81941,2.85172,0.7827,0.55785,0.63247,0.39831,3.28314,3.078,3.88015,0.000185318,0.000185318,0.000185318
49,3021.99,2.04471,1.80706,2.83586,0.80867,0.55757,0.63836,0.40342,3.27396,3.10957,3.85634,0.000176018,0.000176018,0.000176018
50,3083.42,2.05373,1.78444,2.85275,0.77096,0.56424,0.63678,0.40291,3.29133,3.07826,3.88418,0.000166836,0.000166836,0.000166836
51,3144.98,2.04506,1.81095,2.83684,0.78241,0.5544,0.63817,0.40172,3.30573,3.07309,3.88813,0.000157786,0.000157786,0.000157786
52,3206.5,2.02692,1.81096,2.83705,0.77047,0.56662,0.6396,0.40445,3.28129,3.08883,3.87276,0.000148882,0.000148882,0.000148882
53,3268.02,2.0342,1.80456,2.82779,0.79205,0.55826,0.63879,0.40368,3.28012,3.05133,3.88681,0.000140137,0.000140137,0.000140137
54,3329.67,2.01224,1.74523,2.81024,0.81963,0.53802,0.63619,0.4015,3.29162,3.05717,3.88937,0.000131566,0.000131566,0.000131566
55,3391.35,2.01176,1.7791,2.8094,0.80393,0.55788,0.64795,0.41002,3.27256,3.04356,3.86463,0.000123182,0.000123182,0.000123182
56,3453.09,1.97422,1.73864,2.79183,0.7339,0.58432,0.64076,0.40485,3.29232,3.09294,3.90026,0.000114996,0.000114996,0.000114996
57,3514.63,2.01662,1.78633,2.81533,0.79449,0.55675,0.63888,0.40841,3.24648,3.06595,3.86033,0.000107023,0.000107023,0.000107023
58,3576.17,2.00901,1.78212,2.82274,0.76731,0.56537,0.63604,0.40491,3.2605,3.09399,3.85452,9.92742e-05,9.92742e-05,9.92742e-05
59,3637.89,2.00323,1.76759,2.81401,0.78782,0.55607,0.64529,0.41182,3.23211,3.04141,3.84422,9.17616e-05,9.17616e-05,9.17616e-05
60,3699.55,1.9705,1.73315,2.77582,0.78872,0.56303,0.64536,0.41242,3.2253,3.04493,3.82739,8.44968e-05,8.44968e-05,8.44968e-05
61,3761.19,1.98443,1.76022,2.79193,0.80457,0.55382,0.64059,0.40979,3.24228,3.06893,3.84471,7.74911e-05,7.74911e-05,7.74911e-05
62,3822.69,1.97027,1.73287,2.79056,0.7872,0.55993,0.63779,0.41136,3.22211,3.07952,3.84012,7.07552e-05,7.07552e-05,7.07552e-05
63,3884.28,1.95702,1.72434,2.77642,0.80985,0.55915,0.64155,0.40972,3.22378,3.08262,3.82558,6.42995e-05,6.42995e-05,6.42995e-05
64,3945.94,1.94685,1.69673,2.77577,0.80229,0.55237,0.6403,0.41267,3.22215,3.12454,3.83847,5.81341e-05,5.81341e-05,5.81341e-05
65,4007.61,1.9469,1.74676,2.77202,0.80309,0.55714,0.64352,0.41334,3.22798,3.0596,3.85427,5.22683e-05,5.22683e-05,5.22683e-05
66,4069.17,1.93886,1.70854,2.76427,0.80405,0.56618,0.64538,0.41381,3.22242,3.06162,3.84366,4.67113e-05,4.67113e-05,4.67113e-05
