epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.043,6.4453,8.7567,6.90102,0.00344,0.14941,0.00215,0.00068,6.70797,34.232,8.89074,0.0671447,0.000331871,0.000331871
2,129.13,5.3283,7.70819,6.11942,0.13891,0.06532,0.05545,0.02707,5.19891,7.18542,5.88627,0.0341447,0.000665164,0.000665164
3,191.26,4.87474,7.40698,5.69312,0.17164,0.12553,0.08615,0.03745,4.99441,7.47175,5.67398,0.00114449,0.000998294,0.000998294
4,253.614,4.70626,7.14696,5.49285,0.14114,0.13849,0.08658,0.04173,4.9028,6.99389,5.5537,0.00099945,0.00099945,0.00099945
5,315.323,4.54697,6.88115,5.3437,0.25778,0.16371,0.13313,0.05532,4.68717,6.09085,5.2797,0.000999023,0.000999023,0.000999023
6,377.135,4.4594,6.72101,5.21886,0.24057,0.24288,0.17614,0.08078,4.49653,5.89325,5.03356,0.000998474,0.000998474,0.000998474
7,438.765,4.34715,6.51523,5.08586,0.28857,0.20321,0.17048,0.06991,4.48211,5.77693,5.00676,0.000997803,0.000997803,0.000997803
8,499.94,4.27078,6.37834,5.03619,0.31591,0.23006,0.19596,0.08998,4.38112,5.55989,4.93839,0.000997011,0.000997011,0.000997011
9,561.361,4.22195,6.27752,4.98063,0.26916,0.22054,0.19468,0.09591,4.2639,5.44947,4.79078,0.000996097,0.000996097,0.000996097
10,623.39,4.16015,6.12942,4.93367,0.29518,0.27852,0.20677,0.10312,4.34436,5.41041,4.81971,0.000995062,0.000995062,0.000995062
11,684.879,4.14397,6.01836,4.86628,0.31379,0.2814,0.24396,0.11576,4.16089,5.2179,4.66881,0.000993906,0.000993906,0.000993906
12,746.51,4.08145,5.96519,4.81582,0.30596,0.27812,0.24944,0.12044,4.27284,5.21516,4.7874,0.000992629,0.000992629,0.000992629
13,807.726,4.03652,5.85666,4.78522,0.34626,0.28419,0.26126,0.12954,4.21168,5.13541,4.70934,0.000991232,0.000991232,0.000991232
14,868.896,4.03323,5.75978,4.75031,0.34524,0.28167,0.26153,0.11922,4.18819,5.16502,4.71754,0.000989715,0.000989715,0.000989715
15,930.098,3.93536,5.63532,4.69035,0.34121,0.2894,0.24869,0.1271,4.05742,5.01747,4.59484,0.000988079,0.000988079,0.000988079
16,991.283,3.93192,5.63892,4.69204,0.33764,0.27206,0.25217,0.12655,4.0495,4.98717,4.60732,0.000986323,0.000986323,0.000986323
17,1052.63,3.93124,5.55565,4.68168,0.36864,0.29687,0.25937,0.12886,4.16738,5.03015,4.66053,0.000984449,0.000984449,0.000984449
18,1114.31,3.91492,5.49213,4.64191,0.34588,0.34125,0.28186,0.13943,4.08406,4.79964,4.58865,0.000982456,0.000982456,0.000982456
19,1176.33,3.83911,5.34813,4.55632,0.4168,0.33329,0.31714,0.15018,4.09215,4.63407,4.5635,0.000980345,0.000980345,0.000980345
20,1238.86,3.82409,5.32084,4.55233,0.39943,0.34349,0.31683,0.15583,3.97363,4.61932,4.46956,0.000978118,0.000978118,0.000978118
21,1300.29,3.79574,5.27999,4.51894,0.36316,0.35081,0.30804,0.1474,3.97507,4.57199,4.44325,0.000975773,0.000975773,0.000975773
22,1361.6,3.75425,5.16685,4.48655,0.43451,0.34197,0.32982,0.15334,4.08404,4.53631,4.53802,0.000973312,0.000973312,0.000973312
23,1422.97,3.7594,5.15191,4.47858,0.43207,0.35801,0.33846,0.16977,3.92056,4.36858,4.38124,0.000970736,0.000970736,0.000970736
24,1484.29,3.71531,5.03675,4.43673,0.42373,0.35452,0.34094,0.16235,4.00658,4.38706,4.43493,0.000968045,0.000968045,0.000968045
25,1547.13,3.72226,4.99053,4.43633,0.45579,0.37774,0.36147,0.17704,3.97155,4.3177,4.38337,0.000965239,0.000965239,0.000965239
26,1608.47,3.70995,4.95461,4.42767,0.41062,0.38036,0.35797,0.17567,3.90726,4.16553,4.33405,0.00096232,0.00096232,0.00096232
27,1670.03,3.69353,4.8882,4.38868,0.45495,0.37472,0.36747,0.16513,4.01015,4.25304,4.4445,0.000959289,0.000959289,0.000959289
28,1732.21,3.67572,4.94486,4.3696,0.44472,0.35209,0.34987,0.16854,3.88473,4.26884,4.35923,0.000956145,0.000956145,0.000956145
29,1794.07,3.66942,4.88512,4.3738,0.4904,0.38986,0.39407,0.1867,3.93278,4.1129,4.37549,0.000952889,0.000952889,0.000952889
30,1855.61,3.5951,4.75125,4.32534,0.45764,0.34884,0.3584,0.18361,3.87503,4.28578,4.3328,0.000949524,0.000949524,0.000949524
31,1916.81,3.60222,4.77557,4.32499,0.48657,0.39629,0.38974,0.18476,3.96418,4.12108,4.36869,0.000946048,0.000946048,0.000946048
32,1978.14,3.59939,4.7046,4.31576,0.47812,0.39993,0.40821,0.19891,3.87386,4.05297,4.30972,0.000942464,0.000942464,0.000942464
33,2039.8,3.53106,4.65473,4.27524,0.46995,0.41802,0.39273,0.19198,3.77536,4.05685,4.21804,0.000938772,0.000938772,0.000938772
34,2101.05,3.52073,4.60234,4.28015,0.48396,0.4076,0.40137,0.20688,3.76874,4.11777,4.19415,0.000934973,0.000934973,0.000934973
35,2162.98,3.54093,4.57809,4.21859,0.50658,0.39617,0.40996,0.20242,3.84565,3.985,4.27683,0.000931067,0.000931067,0.000931067
36,2224.26,3.51205,4.52559,4.23692,0.51666,0.41128,0.41943,0.21242,3.85628,3.92783,4.26094,0.000927057,0.000927057,0.000927057
37,2285.81,3.47252,4.46941,4.19784,0.48159,0.38846,0.40831,0.20338,3.84615,3.96086,4.23809,0.000922942,0.000922942,0.000922942
38,2347.24,3.48814,4.45369,4.20015,0.53236,0.41385,0.43377,0.21357,3.82054,3.91505,4.27333,0.000918725,0.000918725,0.000918725
39,2408.59,3.48759,4.40777,4.1863,0.45161,0.42953,0.40421,0.21102,3.72152,4.00165,4.12485,0.000914405,0.000914405,0.000914405
40,2470.47,3.44695,4.3616,4.15363,0.48986,0.42023,0.43207,0.21355,3.83002,3.88863,4.22548,0.000909984,0.000909984,0.000909984
41,2531.95,3.43592,4.29317,4.13106,0.53469,0.40726,0.43597,0.22225,3.79302,3.87952,4.17188,0.000905463,0.000905463,0.000905463
42,2593.54,3.39187,4.17221,4.10537,0.49574,0.43816,0.44898,0.23417,3.72216,3.77293,4.09708,0.000900844,0.000900844,0.000900844
43,2655.23,3.42823,4.23688,4.13774,0.52655,0.43005,0.44628,0.22877,3.78385,3.78614,4.16753,0.000896127,0.000896127,0.000896127
44,2716.93,3.36238,4.13799,4.06459,0.52256,0.42914,0.44619,0.23272,3.72525,3.80373,4.10391,0.000891313,0.000891313,0.000891313
45,2778.19,3.35725,4.1427,4.06826,0.5077,0.43795,0.45285,0.2393,3.725,3.77172,4.14683,0.000886404,0.000886404,0.000886404
46,2839.47,3.32474,4.12038,4.04573,0.52296,0.46461,0.45796,0.24212,3.65289,3.65081,4.08322,0.000881401,0.000881401,0.000881401
47,2900.69,3.33664,4.07765,4.05399,0.55269,0.44813,0.47067,0.25115,3.66158,3.61762,4.04379,0.000876305,0.000876305,0.000876305
48,2962,3.31195,4.04766,4.02966,0.5109,0.44403,0.44535,0.23554,3.7567,3.84863,4.12652,0.000871117,0.000871117,0.000871117
49,3023.36,3.2923,3.95876,4.00319,0.53981,0.46301,0.48208,0.2593,3.70865,3.56171,4.10128,0.000865839,0.000865839,0.000865839
50,3084.72,3.28405,3.90706,3.99389,0.53435,0.45347,0.45888,0.24507,3.67524,3.65565,4.06489,0.000860473,0.000860473,0.000860473
51,3146.28,3.25299,3.93105,3.98078,0.56456,0.45036,0.48675,0.25742,3.64241,3.60004,4.00236,0.000855018,0.000855018,0.000855018
52,3207.95,3.21662,3.83578,3.93293,0.55932,0.45099,0.46965,0.24842,3.58934,3.56278,4.01547,0.000849477,0.000849477,0.000849477
