epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0703,6.6314,12.2432,8.12036,0.00349,0.25893,0.00538,0.00148,5.94802,8.63471,7.43316,0.000414497,0.000414497,0.000414497
2,109.468,5.39555,8.94656,6.53126,0.0049,0.41884,0.01023,0.00315,5.3937,8.14523,6.36917,0.000814706,0.000814706,0.000814706
3,162.279,4.97263,8.30307,5.75778,0.57581,0.02184,0.02846,0.00746,5.1155,7.4689,5.89947,0.00119842,0.00119842,0.00119842
4,214.665,4.69812,7.80735,5.34168,0.23217,0.08618,0.05805,0.02122,4.86927,7.39578,5.55532,0.00117575,0.00117575,0.00117575
5,267.151,4.5876,7.36172,5.07349,0.10244,0.05903,0.03922,0.01271,4.76781,7.57504,5.39921,0.001151,0.001151,0.001151
6,319.631,4.39347,7.03633,4.90117,0.20387,0.15711,0.09274,0.03965,4.43801,6.63902,5.09415,0.00112625,0.00112625,0.00112625
7,372.117,4.27787,6.76887,4.77161,0.1914,0.16963,0.09526,0.04136,4.4607,6.76053,5.09586,0.0011015,0.0011015,0.0011015
8,425.081,4.14903,6.5342,4.6028,0.27156,0.16644,0.11474,0.05152,4.33712,6.18598,4.94399,0.00107675,0.00107675,0.00107675
9,477.932,4.13856,6.37977,4.55097,0.2311,0.22896,0.14949,0.07057,4.1865,5.96594,4.76149,0.001052,0.001052,0.001052
10,531.143,4.06219,6.25097,4.50024,0.28053,0.23835,0.19264,0.09279,4.11265,5.63578,4.66924,0.00102725,0.00102725,0.00102725
11,583.639,3.98269,6.04337,4.37364,0.26836,0.24485,0.18008,0.08371,4.10855,5.62057,4.60992,0.0010025,0.0010025,0.0010025
12,636.017,3.95728,5.92527,4.36718,0.30133,0.24992,0.21725,0.10318,4.08496,5.67295,4.61604,0.00097775,0.00097775,0.00097775
13,688.53,3.8966,5.80991,4.30254,0.29177,0.28388,0.22472,0.10098,3.95324,5.69121,4.48898,0.000953,0.000953,0.000953
14,741.19,3.86763,5.67245,4.24004,0.31268,0.26868,0.2379,0.11753,3.87536,5.14263,4.39632,0.00092825,0.00092825,0.00092825
15,794.858,3.78845,5.56606,4.20087,0.34831,0.31094,0.26549,0.12905,3.81247,5.08983,4.30801,0.0009035,0.0009035,0.0009035
16,847.216,3.80103,5.45754,4.17145,0.33359,0.31507,0.26155,0.12909,3.85435,5.11512,4.37227,0.00087875,0.00087875,0.00087875
17,900.089,3.71677,5.38158,4.11165,0.33436,0.26899,0.23857,0.11029,3.95269,5.07945,4.45978,0.000854,0.000854,0.000854
18,952.753,3.69686,5.23786,4.0943,0.36218,0.33091,0.27044,0.13288,3.88662,4.868,4.34944,0.00082925,0.00082925,0.00082925
19,1005.36,3.64766,5.19436,4.04549,0.38059,0.34157,0.30498,0.1596,3.6891,4.7274,4.1793,0.0008045,0.0008045,0.0008045
20,1058.09,3.61756,5.0869,4.00074,0.34863,0.33469,0.29162,0.14348,3.73699,4.89713,4.19101,0.00077975,0.00077975,0.00077975
21,1110.64,3.59235,5.03344,3.9902,0.36864,0.35727,0.32067,0.16679,3.69765,4.69739,4.15985,0.000755,0.000755,0.000755
22,1163.44,3.54859,4.97167,3.92893,0.38853,0.33576,0.30295,0.16453,3.64477,4.66679,4.15936,0.00073025,0.00073025,0.00073025
23,1215.96,3.55229,4.94909,3.95946,0.40849,0.35393,0.33287,0.16606,3.70878,4.54061,4.19872,0.0007055,0.0007055,0.0007055
24,1268.56,3.52593,4.88611,3.91527,0.40325,0.35424,0.33719,0.17438,3.62262,4.4615,4.10172,0.00068075,0.00068075,0.00068075
25,1321.1,3.47958,4.79564,3.86521,0.39187,0.36261,0.33397,0.17596,3.63626,4.42307,4.07749,0.000656,0.000656,0.000656
26,1373.62,3.44989,4.69496,3.82875,0.43411,0.36892,0.34387,0.17733,3.60458,4.37875,4.06701,0.00063125,0.00063125,0.00063125
27,1426.22,3.49939,4.69806,3.84726,0.41846,0.37721,0.35521,0.18791,3.5424,4.31855,3.98536,0.0006065,0.0006065,0.0006065
28,1478.88,3.42048,4.55248,3.77209,0.43727,0.37317,0.36058,0.18894,3.5455,4.36711,3.97706,0.00058175,0.00058175,0.00058175
29,1532.18,3.43873,4.63763,3.80876,0.42254,0.38295,0.35932,0.19283,3.50547,4.23107,3.94143,0.000557,0.000557,0.000557
30,1585.62,3.37388,4.4895,3.7407,0.45492,0.38676,0.38392,0.20891,3.44728,4.10817,3.91997,0.00053225,0.00053225,0.00053225
31,1638.17,3.36271,4.41552,3.73562,0.4648,0.39306,0.38959,0.20991,3.42439,4.14299,3.89368,0.0005075,0.0005075,0.0005075
32,1690.85,3.35433,4.45251,3.72481,0.44734,0.39241,0.38677,0.21257,3.40214,4.04184,3.86045,0.00048275,0.00048275,0.00048275
33,1743.37,3.30782,4.36275,3.69877,0.46448,0.38167,0.37887,0.20374,3.46185,4.08158,3.89134,0.000458,0.000458,0.000458
34,1796.2,3.30868,4.31956,3.67737,0.4558,0.41669,0.40534,0.22205,3.41824,4.00733,3.84831,0.00043325,0.00043325,0.00043325
35,1850.33,3.29521,4.27211,3.6583,0.49169,0.4031,0.42388,0.22987,3.36785,3.91817,3.82809,0.0004085,0.0004085,0.0004085
36,1903.35,3.23123,4.20339,3.61118,0.43782,0.41797,0.40862,0.22737,3.36218,3.94539,3.795,0.00038375,0.00038375,0.00038375
37,1955.84,3.23879,4.21663,3.61824,0.48907,0.42544,0.41895,0.2297,3.36279,3.87769,3.78049,0.000359,0.000359,0.000359
38,2008.39,3.21554,4.15039,3.58778,0.52378,0.41865,0.43008,0.23398,3.34854,3.86126,3.79591,0.00033425,0.00033425,0.00033425
39,2060.96,3.21916,4.1403,3.60903,0.49949,0.44705,0.43601,0.23867,3.3204,3.8411,3.77696,0.0003095,0.0003095,0.0003095
40,2113.8,3.21755,4.08437,3.58806,0.51818,0.43345,0.43824,0.24217,3.33378,3.7608,3.7687,0.00028475,0.00028475,0.00028475
41,2182.17,3.26818,3.93015,3.73387,0.5245,0.44682,0.45545,0.25074,3.31949,3.70346,3.75749,0.00026,0.00026,0.00026
42,2234.45,3.23536,3.785,3.71064,0.54676,0.43255,0.45693,0.25813,3.28728,3.64492,3.7489,0.00023525,0.00023525,0.00023525
