epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1742,6.0707,8.81979,6.42912,0.00104,0.13944,0.00211,0.0005,7.11905,8.64891,7.0084,0.0671473,0.000331845,0.000331845
2,132.961,5.2243,8.1036,5.48293,0.55833,0.03377,0.02624,0.01092,5.72788,8.17718,6.26533,0.0341472,0.000665106,0.000665106
3,196.782,4.813,7.8268,5.18739,0.80836,0.04956,0.03132,0.01167,5.52383,8.32057,5.87091,0.00114689,0.000998078,0.000998078
4,260.811,4.61294,7.58126,5.00821,0.80105,0.04248,0.0308,0.01274,5.32808,7.72952,5.75438,0.000999023,0.000999023,0.000999023
5,324.445,4.45004,7.32141,4.91162,0.59758,0.07512,0.05823,0.02903,5.1401,8.32459,5.66151,0.000998264,0.000998264,0.000998264
6,388.087,4.37425,7.13194,4.81796,0.86064,0.07952,0.08113,0.0341,5.00512,7.01326,5.48595,0.000997288,0.000997288,0.000997288
7,452.536,4.26278,6.93052,4.77064,0.38226,0.09685,0.06419,0.02855,4.98581,6.80257,5.44446,0.000996097,0.000996097,0.000996097
8,515.866,4.2844,6.8659,4.74793,0.38005,0.12735,0.10189,0.05092,4.71226,6.38746,5.29548,0.00099469,0.00099469,0.00099469
9,579.053,4.2057,6.7252,4.67899,0.50116,0.12799,0.11154,0.05475,4.6881,6.22681,5.15836,0.000993068,0.000993068,0.000993068
10,642.409,4.18534,6.5335,4.6415,0.69523,0.12517,0.12715,0.06575,4.77183,6.09471,5.23719,0.000991232,0.000991232,0.000991232
11,705.512,4.11714,6.45093,4.58716,0.19265,0.15744,0.12431,0.0644,4.58498,6.34811,5.05923,0.000989183,0.000989183,0.000989183
12,768.986,4.08962,6.38732,4.54466,0.89402,0.10658,0.13332,0.06937,4.64757,5.86577,5.11978,0.000986922,0.000986922,0.000986922
13,832.681,4.03521,6.29598,4.51406,0.66738,0.16543,0.14686,0.07403,4.56546,6.08849,5.07987,0.000984449,0.000984449,0.000984449
14,896.354,4.0387,6.25292,4.49171,0.40954,0.17822,0.1471,0.07296,4.56982,5.86813,5.09281,0.000981765,0.000981765,0.000981765
15,959.796,3.99674,6.16095,4.48384,0.67886,0.14791,0.15053,0.07417,4.53335,5.85627,4.99386,0.000978873,0.000978873,0.000978873
16,1023.33,4.01742,6.14454,4.46753,0.39645,0.14311,0.11367,0.05286,4.75444,6.27767,5.28958,0.000975773,0.000975773,0.000975773
17,1086.18,3.96065,6.05183,4.4327,0.20876,0.18671,0.15744,0.07837,4.63099,5.71431,4.96392,0.000972466,0.000972466,0.000972466
18,1149.1,3.93116,5.97004,4.39018,0.24241,0.18644,0.17135,0.08792,4.45886,5.51983,4.87408,0.000968955,0.000968955,0.000968955
19,1212.16,3.94092,5.98915,4.40256,0.20404,0.18964,0.15987,0.08179,4.53445,5.73351,4.99851,0.000965239,0.000965239,0.000965239
20,1275.3,3.91206,5.87852,4.3623,0.29777,0.19486,0.17766,0.08422,4.49283,5.43343,4.89372,0.000961322,0.000961322,0.000961322
21,1338.41,3.91741,5.89524,4.3695,0.72833,0.18971,0.1936,0.0948,4.38209,5.37264,4.85277,0.000957205,0.000957205,0.000957205
22,1401.38,3.84645,5.80195,4.32035,0.25182,0.21249,0.1921,0.09673,4.44813,5.32721,4.85037,0.000952889,0.000952889,0.000952889
23,1464.37,3.82764,5.80261,4.30435,0.30262,0.21665,0.20082,0.10036,4.38987,5.26301,4.81598,0.000948377,0.000948377,0.000948377
24,1532.77,3.80431,5.69277,4.29646,0.32664,0.20561,0.16984,0.08037,4.38168,5.4561,4.82243,0.000943671,0.000943671,0.000943671
25,1598.32,3.80915,5.69062,4.26446,0.23863,0.19857,0.18407,0.09116,4.38862,5.34406,4.78795,0.000938772,0.000938772,0.000938772
26,1662.11,3.77915,5.61362,4.2374,0.71342,0.19063,0.19605,0.10092,4.3245,5.3146,4.74835,0.000933683,0.000933683,0.000933683
27,1726.19,3.77712,5.64817,4.23397,0.32665,0.21437,0.18151,0.09412,4.31304,5.29842,4.71605,0.000928405,0.000928405,0.000928405
28,1789.9,3.75338,5.658,4.23253,0.2502,0.21441,0.1822,0.09136,4.3089,5.43757,4.77232,0.000922942,0.000922942,0.000922942
